Sat Mar 22 00:53:48 2025    minecraft.prof

         1937989 function calls (1937944 primitive calls) in 6.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    2.054    0.027    2.054    0.027 {built-in method pygame.display.flip}
   179799    1.752    0.000    1.752    0.000 graphics.py:27(block_vertices)
        1    0.644    0.644    0.644    0.644 {built-in method pygame.display.set_mode}
   185815    0.404    0.000    0.404    0.000 {built-in method numpy.array}
   179799    0.298    0.000    0.298    0.000 graphics.py:42(block_indices)
      226    0.271    0.001    0.306    0.001 wrapper.py:782(wrapperCall)
        1    0.187    0.187    2.646    2.646 graphics.py:47(init_blocks)
        1    0.170    0.170    0.333    0.333 maps.py:69(blocks)
        2    0.074    0.037    0.074    0.037 opengl.py:13(flatten)
   179799    0.051    0.000    0.136    0.000 types_.py:7(__init__)
       24    0.041    0.002    0.042    0.002 baseplatform.py:485(__call__)
    48000    0.032    0.000    0.045    0.000 rand_vec.py:23(dists_to)
    24000    0.023    0.000    0.085    0.000 rand_vec.py:37(weight_to)
   179799    0.020    0.000    0.020    0.000 types_.py:15(__setattr__)
     6000    0.020    0.000    0.169    0.000 perlin_noise.py:59(noise)
    48000    0.019    0.000    0.031    0.000 tools.py:50(fade)
   179864    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    24025    0.015    0.000    0.023    0.000 tools.py:8(dot)
   144000    0.013    0.000    0.013    0.000 rand_vec.py:33(<genexpr>)
    24000    0.013    0.000    0.143    0.000 rand_vec.py:51(get_weighted_val)
   144000    0.012    0.000    0.012    0.000 {built-in method math.pow}
   179799    0.010    0.000    0.010    0.000 maps.py:66(choose_terrain)
      600    0.009    0.000    0.009    0.000 {built-in method pyglm.glm.rotate}
        1    0.009    0.009    6.226    6.226 renderer_test.py:12(main)
       74    0.006    0.000    0.006    0.000 {method 'tick' of 'pygame.time.Clock' objects}
    30025    0.005    0.000    0.005    0.000 {built-in method builtins.sum}
    48554    0.004    0.000    0.004    0.000 {built-in method builtins.len}
        1    0.004    0.004    0.179    0.179 maps.py:59(init_height_map)
    24000    0.004    0.000    0.004    0.000 {built-in method _functools.reduce}
    48025    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
       75    0.003    0.000    0.003    0.000 {built-in method builtins.print}
       76    0.003    0.000    0.004    0.000 opengl.py:44(view)
    24000    0.003    0.000    0.003    0.000 {built-in method math.floor}
     6000    0.002    0.000    0.171    0.000 perlin_noise.py:43(__call__)
        5    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
    12382    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       75    0.002    0.000    0.327    0.004 opengl.py:191(indexed_draw)
      156    0.002    0.000    0.002    0.000 numpymodule.py:40(dataPointer)
       75    0.001    0.000    0.001    0.000 {built-in method pygame.event.get}
      999    0.001    0.000    0.001    0.000 error.py:208(glCheckError)
       75    0.001    0.000    0.011    0.000 opengl.py:172(set_matrices)
      301    0.001    0.000    0.313    0.001 latebind.py:61(__call__)
      460    0.001    0.000    0.004    0.000 arraydatatype.py:133(from_param)
       76    0.001    0.000    0.002    0.000 GL_2_0.py:418(glGetUniformLocation)
     1214    0.001    0.000    0.004    0.000 arraydatatype.py:36(__call__)
       75    0.001    0.000    0.004    0.000 GL_2_0.py:438(glVertexAttribPointer)
       75    0.001    0.000    0.002    0.000 wrapper.py:965(wrapperCall)
     1529    0.001    0.000    0.002    0.000 wrapper.py:506(calculate_pyArgs)
      526    0.001    0.000    0.004    0.000 arraydatatype.py:169(asArray)
       75    0.001    0.000    0.159    0.002 opengl.py:160(populate_vertex_buffer)
      309    0.001    0.000    0.311    0.001 latebind.py:35(__call__)
      150    0.001    0.000    0.306    0.002 GL_1_5.py:67(glBufferData)
       75    0.001    0.000    0.001    0.000 {built-in method pygame.key.get_pressed}
       76    0.001    0.000    0.001    0.000 {built-in method pyglm.glm.lookAt}
      157    0.001    0.000    0.001    0.000 __init__.py:517(cast)
     1160    0.001    0.000    0.001    0.000 wrapper.py:542(calculate_cArgs)
       75    0.000    0.000    0.148    0.002 opengl.py:164(populate_index_buffer)
      301    0.000    0.000    0.000    0.000 numpymodule.py:153(contiguous)
       75    0.000    0.000    0.000    0.000 contextdata.py:31(getContext)
       75    0.000    0.000    0.001    0.000 contextdata.py:44(setValue)
      228    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       76    0.000    0.000    0.000    0.000 {built-in method pyglm.glm.perspective}
     1387    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.007    0.007 opengl.py:127(init_shaders)
      150    0.000    0.000    0.009    0.000 opengl.py:34(rotate)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       79    0.000    0.000    0.001    0.000 strings.py:12(dataPointer)
      156    0.000    0.000    0.002    0.000 numpymodule.py:209(from_param)
       75    0.000    0.000    0.000    0.000 arraydatatype.py:153(voidDataPointer)
       24    0.000    0.000    0.001    0.000 baseplatform.py:456(load)
       75    0.000    0.000    0.000    0.000 {built-in method pyglm.glm.value_ptr}
       75    0.000    0.000    0.327    0.004 graphics.py:55(render_blocks)
       75    0.000    0.000    0.000    0.000 {built-in method pygame.mouse.get_rel}
      301    0.000    0.000    0.001    0.000 numpymodule.py:145(asArray)
       24    0.000    0.000    0.001    0.000 baseplatform.py:159(constructFunction)
       75    0.000    0.000    0.009    0.000 types_.py:70(look)
       76    0.000    0.000    0.004    0.000 opengl.py:138(get_matrices)
       76    0.000    0.000    0.001    0.000 strings.py:21(from_param)
      226    0.000    0.000    0.001    0.000 converters.py:156(__call__)
      150    0.000    0.000    0.000    0.000 arraydatatype.py:212(arrayByteCount)
  390/350    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
